X, Z, P
7.08335000e-04, -3.27687000e-04, 1.57396000e+01
7.14745000e-04, -3.16335000e-04, 1.57404000e+01
7.21155000e-04, -3.05157000e-04, 1.57412000e+01
7.27565000e-04, -2.94170000e-04, 1.57419000e+01
7.33975000e-04, -2.83380000e-04, 1.57425000e+01
7.40385000e-04, -2.72798000e-04, 1.57431000e+01
7.46795000e-04, -2.62440000e-04, 1.57435000e+01
7.53205000e-04, -2.52315000e-04, 1.57437000e+01
7.59615000e-04, -2.42427000e-04, 1.57437000e+01
7.66025000e-04, -2.32795000e-04, 1.57434000e+01
7.72435000e-04, -2.23425000e-04, 1.57427000e+01
7.78845000e-04, -2.14327000e-04, 1.57416000e+01
7.85255000e-04, -2.05513000e-04, 1.57398000e+01
7.91665000e-04, -1.96988000e-04, 1.57374000e+01
7.98075000e-04, -1.88762000e-04, 1.57340000e+01
8.04485000e-04, -1.80845000e-04, 1.57296000e+01
8.10895000e-04, -1.73245000e-04, 1.57240000e+01
8.17305000e-04, -1.65967000e-04, 1.57169000e+01
8.23715000e-04, -1.59022000e-04, 1.57081000e+01
8.30125000e-04, -1.52417000e-04, 1.56974000e+01
8.36535000e-04, -1.46160000e-04, 1.56845000e+01
8.42945000e-04, -1.40255000e-04, 1.56692000e+01
8.49355000e-04, -1.34705000e-04, 1.56512000e+01
8.55765000e-04, -1.29523000e-04, 1.56303000e+01
8.62175000e-04, -1.24708000e-04, 1.56062000e+01
8.68585000e-04, -1.20268000e-04, 1.55789000e+01
8.75000000e-04, -1.16210000e-04, 1.55480000e+01
8.81415000e-04, -1.12532000e-04, 1.55137000e+01
8.87825000e-04, -1.09243000e-04, 1.54759000e+01
8.94235000e-04, -1.06345000e-04, 1.54347000e+01
9.00645000e-04, -1.03842000e-04, 1.53902000e+01
9.07055000e-04, -1.01735000e-04, 1.53428000e+01
9.13465000e-04, -1.00025000e-04, 1.52928000e+01
9.19875000e-04, -9.87175000e-05, 1.52406000e+01
9.26285000e-04, -9.78100000e-05, 1.51867000e+01
9.32695000e-04, -9.73050000e-05, 1.51317000e+01
9.39105000e-04, -9.72075000e-05, 1.50763000e+01
9.45515000e-04, -9.75125000e-05, 1.50210000e+01
